environment,input_label,records,job_name,spark_sql_div_spark_core,hive_div_spark_sql,hive_div_spark_core
docker-simulation-spark-sql-optimized-m4,1m,1000000,airline_airport_ranking,,,
docker-simulation-spark-sql-optimized-m4,1m,1000000,delay_by_airport_month,,,
docker-simulation-spark-sql-optimized-m4,1m,1000000,delay_by_airport_month_all_causes,,,
docker-simulation-spark-sql-optimized-m4,full,7079081,airline_airport_ranking,,,
docker-simulation-spark-sql-optimized-m4,full,7079081,delay_by_airport_month,,,
docker-simulation-spark-sql-optimized-m4,full,7079081,delay_by_airport_month_all_causes,,,
docker-simulation-spark-sql-optimized-m4,14m,14000000,airline_airport_ranking,,,
docker-simulation-spark-sql-optimized-m4,14m,14000000,delay_by_airport_month,,,
docker-simulation-spark-sql-optimized-m4,14m,14000000,delay_by_airport_month_all_causes,,,
local,100k,100000,airline_airport_ranking,1.5000596465229439,10.053404196932107,15.080705946002256
local,100k,100000,delay_by_airport_month,5.083229934705969,2.617013583998558,13.302881789713624
local,100k,100000,delay_by_airport_month_all_causes,3.0459961844839643,4.816887915341245,14.672222211216349
local,500k,500000,airline_airport_ranking,1.7579485660411012,7.986308666949921,14.039519869026233
local,500k,500000,delay_by_airport_month,5.832896386756658,2.421438059707343,14.12399730922201
local,500k,500000,delay_by_airport_month_all_causes,3.5471453128039068,4.050180528777161,14.366578878661555
local,1m,1000000,airline_airport_ranking,1.7136869926984157,8.312746651765698,14.245445810728185
local,1m,1000000,delay_by_airport_month,6.470911435498014,2.519039061770137,16.300478671274565
local,1m,1000000,delay_by_airport_month_all_causes,4.238424262214509,3.6016156715854826,15.265175245619913
local,1m_hc8,1000000,airline_airport_ranking,1.846190506598221,,
local,1m_hc8,1000000,delay_by_airport_month,4.579889986156253,,
local,1m_hc8,1000000,delay_by_airport_month_all_causes,3.2125459320711567,,
local,3m,3000000,airline_airport_ranking,2.6142517572641255,5.511734963683707,14.409062814384251
local,3m,3000000,delay_by_airport_month,7.0333822144907785,2.921992746143815,20.55149181159898
local,3m,3000000,delay_by_airport_month_all_causes,4.99326536604772,3.778768451164485,18.86839363351341
local,full,7079081,airline_airport_ranking,3.0950958105230915,5.858521156141151,18.132684286233374
local,full,7079081,delay_by_airport_month,8.353326978699124,4.067535484463494,33.977453899184916
local,full,7079081,delay_by_airport_month_all_causes,8.387916304904383,3.2300460036934995,27.09335553997195
local,14m,14000000,airline_airport_ranking,3.2368853749853947,7.270912153678747,23.535109213046297
local,14m,14000000,delay_by_airport_month,8.14476646661945,6.263935090971541,51.018288478025866
local,14m,14000000,delay_by_airport_month_all_causes,7.684907530675103,5.871140989178868,45.11917560139596
local,28m,28000000,airline_airport_ranking,3.2093519358946034,11.251588435279805,36.110307126654575
local,28m,28000000,delay_by_airport_month,9.073592007298474,10.342447723619372,93.84315100093504
local,28m,28000000,delay_by_airport_month_all_causes,9.810570877095623,8.374098117630622,82.15468311476826
local-spark-sql-baseline-m4,1m,1000000,airline_airport_ranking,,,
local-spark-sql-baseline-m4,1m,1000000,delay_by_airport_month,,,
local-spark-sql-baseline-m4,1m,1000000,delay_by_airport_month_all_causes,,,
local-spark-sql-baseline-m4,full,7079081,airline_airport_ranking,,,
local-spark-sql-baseline-m4,full,7079081,delay_by_airport_month,,,
local-spark-sql-baseline-m4,full,7079081,delay_by_airport_month_all_causes,,,
local-spark-sql-baseline-m4,14m,14000000,airline_airport_ranking,,,
local-spark-sql-baseline-m4,14m,14000000,delay_by_airport_month,,,
local-spark-sql-baseline-m4,14m,14000000,delay_by_airport_month_all_causes,,,
local-spark-sql-optimized-m4,1m,1000000,airline_airport_ranking,,,
local-spark-sql-optimized-m4,1m,1000000,delay_by_airport_month,,,
local-spark-sql-optimized-m4,1m,1000000,delay_by_airport_month_all_causes,,,
local-spark-sql-optimized-m4,full,7079081,airline_airport_ranking,,,
local-spark-sql-optimized-m4,full,7079081,delay_by_airport_month,,,
local-spark-sql-optimized-m4,full,7079081,delay_by_airport_month_all_causes,,,
local-spark-sql-optimized-m4,14m,14000000,airline_airport_ranking,,,
local-spark-sql-optimized-m4,14m,14000000,delay_by_airport_month,,,
local-spark-sql-optimized-m4,14m,14000000,delay_by_airport_month_all_causes,,,
