origin_airport,airline,flight_count,avg_departure_delay,avg_arrival_delay,cancellation_rate,airport_avg_departure_delay,difference_from_airport_avg_departure_delay,rank_at_airport
ABE,G4,7252,8.386427369601794,0.5815002820078963,0.0165471594043022,12.018641652814058,-3.632214283212264,1
ABE,9E,4016,9.126262626262626,0.3830971659919028,0.0139442231075697,12.018641652814058,-2.8923790265514318,2
ABE,OH,4608,15.268689533861036,4.168871252204585,0.0130208333333333,12.018641652814058,3.25004788104698,3
ABE,OO,1252,30.770764119601328,22.47811447811448,0.0383386581469648,12.018641652814058,18.75212246678727,4
ABI,MQ,6942,7.277374382805693,4.367441860465116,0.0086430423509075,7.277374382805693,0.0,1
ABQ,DL,6126,1.7265238879736409,-5.629910861670519,0.009141364675155,9.49026661024122,-7.763742722267579,1
ABQ,OO,15738,2.13490746649649,-2.0154711673699017,0.0043207523192273,9.49026661024122,-7.35535914374473,2
ABQ,MQ,3594,5.325125909345271,3.27793374508703,0.0055648302726766,9.49026661024122,-4.1651407008959485,3
ABQ,UA,7200,5.468872686483455,-0.3270475654376583,0.0105555555555555,9.49026661024122,-4.021393923757764,4
ABQ,AS,1670,8.138721351025332,4.212121212121212,0.0095808383233532,9.49026661024122,-1.3515452592158876,5
