origin_airport,airline,flight_count,avg_departure_delay,avg_arrival_delay,cancellation_rate,airport_avg_departure_delay,difference_from_airport_avg_departure_delay,rank_at_airport
ABE,G4,1554,8.02496714848883,0.4357615894039735,0.0205920205920205,11.274520856820743,-3.2495537083319146,1
ABE,9E,842,10.213429256594724,1.853717026378897,0.009501187648456,11.274520856820743,-1.0610916002260211,2
ABE,OH,944,13.458422174840086,1.551282051282051,0.0063559322033898,11.274520856820743,2.183901318019341,3
ABE,OO,264,26.165354330708663,17.77777777777778,0.0378787878787878,11.274520856820743,14.890833473887918,4
ABI,MQ,1554,8.87109375,6.106770833333333,0.0115830115830115,8.87109375,0.0,1
ABQ,DL,1326,0.0259146341463414,-7.433587786259542,0.0105580693815987,8.79813325389733,-8.772218619750989,1
ABQ,OO,3302,2.411550151975684,-1.9829580036518564,0.003634161114476,8.79813325389733,-6.386583101921646,2
ABQ,UA,1610,4.544654088050314,-1.489281210592686,0.0136645962732919,8.79813325389733,-4.253479165847016,3
ABQ,NK,446,7.463636363636364,3.827272727272727,0.0134529147982062,8.79813325389733,-1.334496890260966,4
ABQ,MQ,776,7.559278350515464,5.4909560723514215,0.0,8.79813325389733,-1.238854903381866,5
