origin_airport,month,delay_range,flight_count,avg_departure_delay,avg_arrival_delay,top_1_cause,top_1_count,top_2_cause,top_2_count,top_3_cause,top_3_count
ABE,1,cancelled_no_departure_delay,44,,,cancellation:B,44,,0,,0
ABE,1,low,1096,-5.5,-14.630514705882351,unknown,1014,delay:nas,78,delay:carrier,4
ABE,1,medium,124,34.32258064516129,32.5,delay:late_aircraft,48,delay:carrier,32,unknown,28
ABE,1,high,116,239.39655172413796,232.24137931034485,delay:late_aircraft,54,delay:carrier,46,delay:nas,8
ABE,2,cancelled_no_departure_delay,12,,,cancellation:B,12,,0,,0
ABE,2,low,1174,-6.727427597955707,-19.625641025641027,unknown,1126,delay:nas,40,delay:carrier,4
ABE,2,medium,78,29.871794871794872,10.72972972972973,unknown,46,delay:carrier,20,delay:late_aircraft,12
ABE,2,high,56,227.92857142857144,217.92857142857144,delay:carrier,24,delay:late_aircraft,24,delay:nas,4
ABE,3,cancelled_no_departure_delay,8,,,cancellation:B,4,cancellation:C,4,,0
ABE,3,low,1338,-6.179372197309417,-18.369207772795217,unknown,1310,delay:nas,28,,0
