run_id,cluster_id,step_id,step_name,step_kind,technology,input_label,repetition,step_state,submitted_at_utc,started_at_utc,ended_at_utc,wall_clock_seconds,failure_reason,metrics_s3_uri
m5-emr-p2-14m,j-UTYJJLQJEQUZ,s-021159514SVFVC94RQLK,Install Python benchmark dependencies,dependency,,,,COMPLETED,2026-05-22T20:40:22.483000+00:00,2026-05-22T20:40:31.499000+00:00,2026-05-22T20:40:39.723000+00:00,8.224,,
m5-emr-p2-14m,j-UTYJJLQJEQUZ,s-082625511338XU5CCC0I,spark_sql 14m rep1,benchmark,spark_sql,14m,1,COMPLETED,2026-05-22T20:41:05.300000+00:00,2026-05-22T20:41:09.742000+00:00,2026-05-22T20:42:13.866000+00:00,64.124,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m5-emr-p2-14m/outputs/14m/spark_sql/rep1/spark_sql/runtime_metrics.json
m5-emr-p2-14m,j-UTYJJLQJEQUZ,s-0045609U05KUNW5WU64,spark_sql 14m rep2,benchmark,spark_sql,14m,2,COMPLETED,2026-05-22T20:42:30.796000+00:00,2026-05-22T20:42:38.884000+00:00,2026-05-22T20:43:32.999000+00:00,54.115,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m5-emr-p2-14m/outputs/14m/spark_sql/rep2/spark_sql/runtime_metrics.json
m5-emr-p2-14m,j-UTYJJLQJEQUZ,s-0197667UI46GK96C1W4,spark_sql 14m rep3,benchmark,spark_sql,14m,3,COMPLETED,2026-05-22T20:43:56.412000+00:00,2026-05-22T20:44:03.016000+00:00,2026-05-22T20:44:55.108000+00:00,52.092,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m5-emr-p2-14m/outputs/14m/spark_sql/rep3/spark_sql/runtime_metrics.json
m5-emr-p2-14m,j-UTYJJLQJEQUZ,s-04201942F7DL534XV4YB,spark_core 14m rep1,benchmark,spark_core,14m,1,COMPLETED,2026-05-22T20:45:21.917000+00:00,2026-05-22T20:45:30.128000+00:00,2026-05-22T20:50:22.211000+00:00,292.083,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m5-emr-p2-14m/outputs/14m/spark_core/rep1/spark_core/runtime_metrics.json
m5-emr-p2-14m,j-UTYJJLQJEQUZ,s-103866966DKD3PGLFDA,spark_core 14m rep2,benchmark,spark_core,14m,2,COMPLETED,2026-05-22T20:50:37.204000+00:00,2026-05-22T20:50:52.227000+00:00,2026-05-22T20:55:34.320000+00:00,282.093,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m5-emr-p2-14m/outputs/14m/spark_core/rep2/spark_core/runtime_metrics.json
m5-emr-p2-14m,j-UTYJJLQJEQUZ,s-08483581M0GQ0N8ANB41,spark_core 14m rep3,benchmark,spark_core,14m,3,COMPLETED,2026-05-22T20:55:52.608000+00:00,2026-05-22T20:56:04.333000+00:00,2026-05-22T21:00:56.468000+00:00,292.135,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m5-emr-p2-14m/outputs/14m/spark_core/rep3/spark_core/runtime_metrics.json
m5-emr-p2-28m-smoke,j-1XB692RVA04ZI,s-02661861WS96QXKXBA6N,Install Python benchmark dependencies,dependency,,,,COMPLETED,2026-05-23T00:11:34.736000+00:00,2026-05-23T00:11:45.506000+00:00,2026-05-23T00:11:53.750000+00:00,8.244,,
m5-emr-p2-28m-smoke,j-1XB692RVA04ZI,s-02518039H5EN1F5I390,spark_sql 28m rep1,benchmark,spark_sql,28m,1,COMPLETED,2026-05-23T00:11:56.875000+00:00,2026-05-23T00:12:08.784000+00:00,2026-05-23T00:13:14.891000+00:00,66.107,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m5-emr-p2-28m-smoke/outputs/28m/spark_sql/rep1/spark_sql/runtime_metrics.json
m5-emr-p2-28m-smoke,j-1XB692RVA04ZI,s-0305272W8ZO2I82BGS4,spark_core 28m rep1,benchmark,spark_core,28m,1,COMPLETED,2026-05-23T00:13:22.591000+00:00,2026-05-23T00:13:34.908000+00:00,2026-05-23T00:20:43.030000+00:00,428.122,,s3://fd-bda-380623119505-us-east-1/flight-delay/results/runs/m5-emr-p2-28m-smoke/outputs/28m/spark_core/rep1/spark_core/runtime_metrics.json
